order_id,product_id,quantity
1,73,1
1,77,1
1,45,3
2,67,3
3,127,1
3,67,3
4,190,3
4,9,1
4,8,1
4,154,2
5,178,1
5,43,1
6,118,2
6,8,3
6,164,1
6,118,1
7,30,1
7,42,3
7,75,1
8,166,3
8,166,2
9,124,4
9,81,4
9,74,1
9,165,3
10,96,2
10,170,4
10,18,1
10,105,2
11,18,3
11,157,4
11,148,1
12,198,4
12,142,2
12,42,3
12,199,4
13,134,4
13,30,2
13,56,3
14,139,1
14,178,4
14,187,4
14,106,2
15,198,1
15,144,3
16,71,3
17,57,1
17,67,3
17,152,3
17,198,2
18,46,4
18,116,4
19,116,1
19,184,2
19,44,4
20,148,3
20,168,1
20,159,2
21,57,3
22,122,3
23,60,1
23,138,2
23,116,1
24,188,2
25,2,1
26,189,2
26,163,4
26,184,3
27,117,4
27,77,2
27,135,1
27,77,2
28,66,3
28,33,1
29,124,3
29,5,1
29,57,1
30,177,2
30,160,3
31,74,3
31,14,1
31,148,4
32,199,1
32,190,1
33,101,2
34,30,3
34,102,2
34,150,3
35,203,1
35,135,2
35,199,1
35,128,2
36,16,1
36,83,4
36,86,4
36,202,1
37,158,3
37,92,3
38,82,1
38,149,3
38,10,4
39,155,3
39,28,3
39,151,4
40,196,4
40,86,4
40,65,4
40,133,3
41,48,3
41,27,1
41,40,1
41,160,4
42,96,4
42,83,1
42,39,2
43,30,2
43,88,4
43,191,2
44,37,3
45,43,3
45,142,1
46,190,3
46,133,4
47,32,2
47,66,1
47,73,3
47,175,4
48,111,3
49,15,4
49,114,2
50,187,2
50,18,1
50,4,3
51,105,4
52,19,1
52,122,1
52,47,4
53,136,1
54,130,3
54,51,1
55,50,2
55,170,1
55,22,4
56,4,3
56,7,4
56,84,1
57,126,1
57,151,4
58,36,4
59,88,4
59,195,1
60,194,4
61,81,1
62,42,3
62,188,3
62,60,3
62,155,2
63,186,2
64,48,4
64,162,3
64,72,3
65,81,2
65,162,1
65,133,2
65,166,4
66,59,3
66,141,3
67,177,1
67,196,3
68,72,1
68,128,3
69,204,4
70,117,4
71,191,4
72,87,2
72,154,4
73,151,1
73,102,3
74,193,4
74,68,2
74,22,2
75,63,1
75,140,2
75,190,4
75,178,4
76,81,3
76,15,1
76,74,1
77,48,3
77,161,2
77,203,4
77,6,1
78,156,1
79,113,2
80,155,1
80,16,2
81,77,3
81,39,4
81,114,1
81,127,4
82,154,4
82,200,2
82,156,1
82,118,3
83,122,1
83,182,3
83,63,1
83,153,3
84,152,4
84,2,2
84,29,1
85,92,2
85,56,4
85,69,4
85,134,4
86,175,3
86,151,2
87,122,1
87,131,1
87,77,3
87,80,3
88,18,3
89,114,3
89,42,4
89,149,4
90,176,4
90,152,2
90,105,3
91,28,3
91,161,2
91,116,4
92,144,4
92,187,1
92,131,3
93,65,2
93,58,3
93,119,4
94,114,3
95,99,2
95,70,3
96,147,3
97,81,4
97,134,3
97,160,4
97,145,3
98,16,3
98,43,3
98,53,4
99,131,2
99,185,2
100,104,2
100,95,4
100,124,2
100,37,4
101,155,1
101,10,1
101,77,1
101,126,1
102,152,3
102,168,2
102,70,4
103,143,4
104,45,1
104,23,3
104,137,2
104,192,1
105,128,1
105,110,1
105,76,1
106,180,2
106,148,2
107,44,1
107,173,3
107,25,3
108,28,1
108,20,1
108,84,1
108,23,4
109,199,1
109,74,4
110,142,1
110,69,1
111,163,2
111,30,2
111,170,4
111,175,3
112,30,2
112,192,4
112,184,1
113,65,4
113,128,1
114,125,1
114,72,3
115,125,3
115,150,4
115,111,2
115,86,1
116,180,2
117,2,3
117,95,1
117,48,4
118,160,2
119,96,4
119,115,1
119,163,1
120,59,4
120,55,4
120,125,1
120,119,3
121,154,2
121,36,4
121,77,1
121,159,4
122,181,1
122,49,3
122,201,2
122,26,2
123,47,2
123,95,4
123,4,3
124,200,1
125,23,1
125,52,1
125,106,3
126,61,4
126,76,4
127,74,3
127,130,3
127,122,4
128,192,4
128,146,4
129,51,3
129,115,1
129,152,1
130,183,2
130,138,3
130,179,2
131,8,1
131,104,2
131,184,2
131,181,3
132,195,4
132,203,2
132,30,2
133,141,4
134,70,2
134,204,1
135,42,3
135,7,1
135,150,4
136,38,3
136,21,4
136,161,3
137,194,3
137,138,1
138,46,2
138,195,2
138,121,3
139,105,4
139,114,4
140,53,4
141,176,4
141,120,3
141,159,3
142,167,2
142,191,3
142,34,1
142,71,1
143,175,2
143,67,1
143,26,2
143,165,1
144,191,2
144,109,3
144,103,1
145,196,4
145,191,1
145,167,1
145,24,3
146,63,4
146,152,4
147,56,2
147,71,4
147,147,2
147,77,4
148,75,3
148,52,4
148,188,4
148,47,1
149,158,3
149,43,3
149,160,1
150,39,4
150,165,2
150,161,1
151,43,1
151,70,1
151,14,1
151,33,4
152,48,4
152,74,4
152,174,1
152,127,2
153,17,3
154,96,2
154,34,3
154,110,4
154,41,3
155,13,2
156,11,4
157,90,4
157,98,4
157,163,1
158,194,3
158,67,3
158,14,2
159,39,4
160,119,4
161,87,4
162,58,3
162,152,2
163,204,2
164,173,1
164,78,2
165,131,2
166,6,3
166,88,1
166,93,1
167,57,1
167,42,2
167,22,2
168,146,2
168,137,3
168,89,1
169,1,3
170,23,2
171,115,3
172,65,1
173,37,2
173,38,2
174,76,4
174,88,3
175,134,3
176,176,3
177,58,4
177,22,3
178,90,1
179,88,3
179,81,3
180,117,4
180,47,4
181,127,4
181,124,2
181,93,3
181,20,1
182,40,2
182,183,4
182,10,3
183,171,4
184,117,3
184,199,3
184,110,2
184,88,4
185,30,2
186,171,1
186,108,2
186,140,3
186,89,4
187,42,1
188,43,2
188,73,4
189,179,3
189,18,3
189,36,3
189,68,2
190,70,2
190,120,4
190,113,4
191,145,3
192,22,3
192,198,3
193,38,4
193,168,3
193,138,4
193,128,2
194,43,4
194,173,4
194,200,3
194,5,3
195,136,2
196,142,4
196,79,4
197,5,4
198,79,2
198,59,3
199,196,3
200,31,4
200,89,2
200,139,2
201,84,1
202,178,3
202,198,1
202,10,2
203,60,3
203,170,1
203,57,2
203,35,2
204,87,1
204,174,3
204,147,4
204,157,3
205,89,1
205,168,1
206,190,3
206,122,4
206,76,4
206,87,2
207,103,4
208,95,4
208,73,2
208,188,2
208,73,1
209,165,2
209,174,1
210,115,1
210,120,1
210,155,4
211,181,3
211,198,4
211,155,4
211,100,2
212,56,4
212,92,1
212,102,4
212,117,2
213,146,3
214,89,1
214,82,3
214,153,2
214,4,1
215,118,3
215,6,3
215,182,2
215,145,1
216,170,2
216,180,3
216,180,4
216,133,2
217,130,3
217,12,4
217,200,1
217,163,1
218,19,4
218,193,3
218,193,4
218,134,2
219,156,2
219,68,4
219,114,3
219,130,4
220,59,2
220,172,2
220,197,3
221,34,4
221,165,2
221,35,3
221,173,3
222,34,4
222,113,1
223,199,1
223,4,1
223,111,1
224,21,2
224,69,1
225,167,1
225,12,3
225,149,4
225,5,2
226,192,2
226,169,1
226,98,3
227,97,3
227,173,2
227,22,1
228,203,3
229,163,1
230,136,1
230,143,1
231,115,1
231,149,3
231,116,4
231,147,3
232,50,3
232,58,2
233,156,3
234,6,1
234,124,2
234,83,1
235,69,4
235,157,2
235,169,4
236,132,4
237,148,1
237,78,1
238,132,2
238,92,1
238,156,4
238,120,3
239,113,1
239,199,4
239,85,3
239,72,1
240,81,3
240,119,1
240,162,2
241,91,2
241,101,1
242,178,2
242,98,3
242,151,3
242,187,1
243,25,1
243,193,4
244,3,1
244,113,3
244,76,2
244,167,1
245,68,4
245,117,3
245,106,3
246,71,2
246,90,3
247,114,1
247,202,1
247,81,3
248,65,2
248,48,3
248,157,1
248,118,1
249,69,4
249,129,4
249,146,2
249,185,2
250,11,4
250,185,4
250,65,4
250,163,2
251,187,1
251,131,3
251,21,1
251,160,2
252,181,2
252,176,4
252,80,2
253,197,3
253,177,3
254,153,1
254,31,3
254,7,2
254,145,4
255,7,4
255,181,2
256,90,4
256,14,2
256,86,2
257,52,2
257,68,4
257,3,1
257,159,4
258,160,4
258,51,3
258,48,4
259,97,1
260,10,4
260,188,4
260,67,4
260,160,2
261,155,3
261,67,1
261,3,4
262,77,3
263,61,2
264,104,2
265,38,1
265,197,4
265,152,1
265,47,4
266,24,2
266,52,1
267,194,2
268,193,3
268,77,1
268,183,1
269,186,3
269,184,3
270,89,3
270,173,1
270,163,2
270,102,1
271,203,4
272,136,3
272,46,2
272,61,4
273,161,3
273,59,3
273,26,4
273,145,1
274,135,3
274,180,1
274,128,2
275,188,1
275,91,2
275,68,1
275,51,3
276,104,3
276,79,3
276,61,4
276,90,4
277,22,4
277,199,3
277,193,4
278,65,1
278,144,2
278,182,4
278,133,2
279,20,2
280,25,3
280,160,3
280,136,2
280,90,2
281,78,3
281,113,1
281,32,4
